Radius (A),Pore Volume (cc/g),Pore Surface Area (m2/g),dV(r) (cc/A/g),dS(r) (m2/A/g),dV(logr) (cc/g),dS(logr) (cc/g)
17.0234,3.13E-03,3.68E+00,1.88E-03,2.21E+00,7.37E-02,8.65E+01
19.0957,6.59E-03,7.30E+00,1.40E-03,1.46E+00,6.13E-02,6.42E+01
21.4931,9.03E-03,9.57E+00,1.05E-03,9.78E-01,5.20E-02,4.84E+01
24.4236,1.22E-02,1.21E+01,8.88E-04,7.27E-01,4.99E-02,4.08E+01
28.2286,1.51E-02,1.42E+01,7.07E-04,5.01E-01,4.59E-02,3.25E+01
32.8702,1.81E-02,1.60E+01,5.77E-04,3.51E-01,4.35E-02,2.65E+01
38.9594,2.15E-02,1.78E+01,4.98E-04,2.55E-01,4.45E-02,2.29E+01
47.2897,2.65E-02,1.99E+01,5.14E-04,2.17E-01,5.57E-02,2.36E+01
60.5254,3.45E-02,2.25E+01,4.78E-04,1.58E-01,6.62E-02,2.19E+01
85.38,5.48E-02,2.73E+01,6.15E-04,1.44E-01,1.19E-01,2.80E+01
145.5188,1.34E-01,3.82E+01,9.13E-04,1.25E-01,2.96E-01,4.07E+01
735.9338,6.90E-01,5.33E+01,5.08E-04,1.38E-02,6.68E-01,1.82E+01
