Half pore width (A),Cumulative Pore Volume (cc/g),Cumulative Surface Area (m2/g),dV(r) (cc/A/g),dS(r) (m2/A/g)
6.1,2.03E-01,9.71E+02,8.21E-02,2.69E+02
6.365,2.25E-01,1.04E+03,8.48E-02,2.66E+02
6.63,2.47E-01,1.11E+03,8.13E-02,2.45E+02
6.895,2.74E-01,1.19E+03,1.03E-01,2.98E+02
7.16,3.18E-01,1.31E+03,1.66E-01,4.64E+02
7.49,3.62E-01,1.42E+03,1.32E-01,3.51E+02
7.82,4.04E-01,1.53E+03,1.28E-01,3.27E+02
8.155,4.46E-01,1.64E+03,1.26E-01,3.10E+02
8.485,4.94E-01,1.75E+03,1.45E-01,3.41E+02
8.9,5.31E-01,1.83E+03,9.01E-02,2.02E+02
9.34,5.71E-01,1.92E+03,8.96E-02,1.92E+02
9.74,5.71E-01,1.92E+03,0.00E+00,0.00E+00
10.135,5.71E-01,1.92E+03,0.00E+00,0.00E+00
10.535,5.71E-01,1.92E+03,0.00E+00,0.00E+00
10.93,5.71E-01,1.92E+03,0.00E+00,0.00E+00
11.33,5.71E-01,1.92E+03,0.00E+00,0.00E+00
11.725,5.71E-01,1.92E+03,0.00E+00,0.00E+00
12.125,5.71E-01,1.92E+03,0.00E+00,0.00E+00
12.52,5.71E-01,1.92E+03,0.00E+00,0.00E+00
12.915,5.71E-01,1.92E+03,0.00E+00,0.00E+00
13.515,5.71E-01,1.92E+03,0.00E+00,0.00E+00
14.11,5.71E-01,1.92E+03,0.00E+00,0.00E+00
14.705,5.71E-01,1.92E+03,0.00E+00,0.00E+00
15.3,5.71E-01,1.92E+03,0.00E+00,0.00E+00
15.895,5.71E-01,1.92E+03,0.00E+00,0.00E+00
16.49,5.71E-01,1.92E+03,0.00E+00,0.00E+00
17.09,5.71E-01,1.92E+03,0.00E+00,0.00E+00
17.685,5.71E-01,1.92E+03,0.00E+00,0.00E+00
18.28,5.71E-01,1.92E+03,0.00E+00,0.00E+00
18.875,5.71E-01,1.92E+03,0.00E+00,0.00E+00
19.67,5.71E-01,1.92E+03,0.00E+00,0.00E+00
20.465,5.71E-01,1.92E+03,0.00E+00,0.00E+00
21.26,5.71E-01,1.92E+03,0.00E+00,0.00E+00
22.055,5.71E-01,1.92E+03,0.00E+00,0.00E+00
22.85,5.71E-01,1.92E+03,0.00E+00,0.00E+00
23.64,5.71E-01,1.92E+03,0.00E+00,0.00E+00
24.435,5.71E-01,1.92E+03,0.00E+00,0.00E+00
25.43,5.71E-01,1.92E+03,0.00E+00,0.00E+00
26.425,5.71E-01,1.92E+03,0.00E+00,0.00E+00
27.415,5.71E-01,1.92E+03,0.00E+00,0.00E+00
28.41,5.71E-01,1.92E+03,0.00E+00,0.00E+00
29.4,5.71E-01,1.92E+03,0.00E+00,0.00E+00
30.395,5.71E-01,1.92E+03,0.00E+00,0.00E+00
31.585,5.71E-01,1.92E+03,0.00E+00,0.00E+00
